a,b,c,latlng,e,f
522,0:17,0:35,"104.026524,30.684059",2,0:00
523,0:52,1:18,"104.02455,30.65046",2,0:00
524,0:58,1:05,"104.097928,30.627831",2,0:00
525,1:09,1:18,"104.055607,30.646869",2,0:00
526,1:10,1:18,"104.001948,30.666586",2,0:00
527,1:01,1:25,"104.079053,30.678868",2,0:00
528,1:14,1:37,"104.057651,30.67383",2,0:00
529,1:20,1:37,"104.074994,30.642407",2,0:00
530,1:22,1:43,"104.045374,30.651983",2,0:00
531,1:29,1:53,"104.082751,30.599012",1,0:00
532,1:36,1:54,"104.026524,30.684059",2,0:00
533,1:34,1:54,"104.002837,30.669541",2,0:00
534,1:41,1:54,"104.079973,30.651014",2,0:00
535,1:42,1:53,"104.07553,30.652681",2,0:00
536,1:50,2:09,"104.078171,30.654518",2,0:00
537,1:59,2:09,"104.015726,30.671891",2,0:00
538,1:58,2:21,"104.085321,30.548303",1,0:00
539,1:57,2:09,"104.073403,30.696772",2,0:00
540,1:58,2:09,"104.03348,30.67552",2,0:00
541,2:02,2:21,"104.041087,30.605414",1,0:00
542,2:08,2:21,"104.087492,30.680633",2,0:00
543,2:08,2:21,"104.079611,30.700269",2,0:00
544,2:15,2:21,"104.05449,30.66059",2,0:00
545,2:10,2:33,"104.091843,30.693119",2,0:00
546,2:18,2:33,"104.075662,30.700486",2,0:00
547,2:11,2:33,"104.086903,30.661361",2,0:00
548,2:24,2:33,"104.066453,30.664926",2,0:00
549,2:16,2:35,"104.144961,30.629369",2,0:00
550,2:25,,"104.015726,30.671891",2,2
551,9:02,11:21,"104.066153,30.668529",2,0:00
552,10:15,10:30,"104.069473,30.653757",2,0:00
553,10:07,10:30,"104.007483,30.66269",2,0:00
554,10:18,10:31,"104.072594,30.666769",2,0:00
555,11:24,11:36,"104.082622,30.671927",2,0:00
556,12:18,12:42,"104.06491,30.620841",2,0:00
557,12:19,12:42,"104.048007,30.589758",1,0:00
558,12:40,13:04,"104.029036,30.662328",2,0:00
559,12:45,13:04,"104.065697,30.670023",2,0:00
560,12:52,13:16,"104.048456,30.552519",1,0:00
561,12:54,13:04,"104.103494,30.717045",2,0:00
562,13:25,13:30,"104.05349,30.67667",2,0:00
563,13:26,13:55,"104.080583,30.660542",2,0:00
564,13:11,13:25,"104.070604,30.676905",2,0:00
565,14:52,15:15,"104.05942,30.64933",2,0:00
566,15:08,15:15,"104.054378,30.660553",2,0:00
567,16:09,16:33,"104.103494,30.717045",2,0:00
568,16:17,16:33,"104.103494,30.717045",2,0:00
569,16:59,17:26,"104.060981,30.583899",1,0:00
570,17:09,17:26,"104.068682,30.670769",2,0:00
571,17:27,17:50,"104.0923,30.64028",2,0:00
572,18:24,18:33,"104.08721,30.65888",2,0:00
573,18:13,18:33,"104.109021,30.65321",2,0:00
574,19:35,20:04,"104.055914,30.723878",2,0:00
575,19:12,19:36,"104.082321,30.654854",2,0:00
576,19:59,20:17,"104.095337,30.620195",2,0:00
577,20:00,20:07,"104.073715,30.558354",1,0:00
578,20:24,20:37,"104.036901,30.689618",2,0:00
579,20:22,20:39,"104.068727,30.647337",2,0:00
580,20:22,20:39,"104.115434,30.649596",2,0:00
581,21:01,21:27,"104.072746,30.701761",2,0:00
582,21:11,21:27,"104.103494,30.717045",2,0:00
583,21:27,21:43,"104.015872,30.637465",2,0:00
584,21:29,21:43,"104.06191,30.673427",2,0:00
585,21:30,21:43,"104.072817,30.663731",2,0:00
586,21:46,22:06,"104.058795,30.612997",1,0:00
587,21:46,22:06,"104.068868,30.586267",1,0:00
588,22:12,22:39,"104.080489,30.642166",2,0:00
589,22:18,22:40,"103.991502,30.669243",2,0:00
590,22:21,22:40,"104.103494,30.717045",2,0:00
591,22:21,22:42,"104.062468,30.649666",2,0:00
592,23:04,23:22,"104.121264,30.646166",2,0:00
593,23:08,23:35,"104.065334,30.546507",1,0:00
594,23:09,23:21,"104.042558,30.689686",2,0:00
595,23:06,23:19,"104.081096,30.651747",2,0:00
596,23:13,23:21,"104.084213,30.690414",2,0:00
597,23:14,23:44,"103.991771,30.664414",2,0:00
598,23:19,23:39,"104.104772,30.661888",2,0:00
599,23:24,23:39,"104.073712,30.654837",2,0:00
600,23:27,23:44,"104.064846,30.593719",1,0:00
601,23:30,23:39,"104.076291,30.654189",2,0:00
602,23:30,23:39,"104.0602,30.65383",2,0:00
603,23:37,0:03,"104.091843,30.693119",2,0:00
604,23:37,0:03,"104.105301,30.599991",1,0:00
605,23:37,0:03,"104.02124,30.676848",2,0:00
606,23:43,0:04,"104.079376,30.645405",2,0:00
607,23:44,0:03,"104.072201,30.559483",1,0:00
608,23:44,0:04,"104.111001,30.671963",2,0:00
609,23:53,0:18,"104.06145,30.68252",2,0:00
610,23:54,0:03,"104.020765,30.679583",2,0:00
611,0:03,0:04,"104.072171,30.674467",2,0:00
612,23:59,0:18,"104.05607,30.64173",2,0:00
613,0:07,0:28,"104.10337,30.60094",1,0:00
614,0:13,0:28,"104.011886,30.688938",2,0:00
615,0:07,0:28,"104.047367,30.643934",2,0:00
616,0:07,0:27,"104.073152,30.550677",1,0:00
617,0:09,0:19,"104.00356,30.66764",2,0:00
618,0:24,0:42,"104.10872,30.699694",2,0:00
619,0:16,0:28,"104.035222,30.607444",1,0:00
620,0:13,0:28,"104.002837,30.669541",2,0:00
621,0:21,0:33,"104.073715,30.558354",1,0:00
622,0:32,0:57,"104.026828,30.68663",2,0:00
623,0:37,0:42,"104.072594,30.666769",2,0:00
624,0:38,0:59,"104.078032,30.55919",1,0:00
625,0:46,1:13,"104.128632,30.611653",1,0:00
626,0:51,0:57,"103.996524,30.648874",2,0:00
627,0:57,1:19,"104.083685,30.673715",2,0:00
628,1:00,1:27,"104.055183,30.534643",1,0:00
629,1:02,1:19,"104.072746,30.701761",2,0:00
630,1:12,1:19,"104.035222,30.607444",1,0:00
631,1:15,1:27,"104.061561,30.578001",1,0:00
632,1:20,1:32,"104.038396,30.552402",1,0:00
633,1:22,1:49,"104.091913,30.611894",1,0:00
634,1:23,1:49,"104.103625,30.644821",2,0:00
635,1:31,1:49,"104.096788,30.603797",1,0:00
636,1:02,1:24,"104.004581,30.628779",2,0:00
637,1:32,1:49,"104.045374,30.651983",2,0:00
638,1:36,1:49,"104.059246,30.632774",2,0:00
639,1:35,1:49,"104.116009,30.677116",2,0:00
640,1:39,2:05,"104.155106,30.628711",2,0:00
641,1:42,2:05,"104.086029,30.661398",2,0:00
642,1:53,2:05,"104.07016,30.644162",2,0:00
643,1:55,2:05,"104.078304,30.657437",2,0:00
644,1:53,2:05,"104.130204,30.606751",1,0:00
645,2:01,2:20,"104.073544,30.642901",2,0:00
646,1:59,2:20,"104.070462,30.659517",2,0:00
647,2:01,2:28,"104.003202,30.653357",2,0:00
648,2:02,2:28,"104.007458,30.700417",2,0:00
649,2:04,2:21,"104.077532,30.665796",2,0:00
650,2:03,2:21,"104.051922,30.657788",2,0:00
651,2:05,2:21,"104.079936,30.618148",1,0:00
652,2:08,2:36,"104.127099,30.600289",1,0:00
653,2:30,2:53,"104.02219,30.659561",2,0:00
654,2:30,2:54,"104.08225,30.65887",2,0:00
655,2:32,2:54,"104.080221,30.651228",2,0:00
656,2:30,2:54,"104.08312,30.548252",1,0:00
657,2:43,2:53,"104.032356,30.675341",2,0:00
658,2:44,3:12,"104.048456,30.552519",1,0:00
659,2:55,3:12,"104.039875,30.680084",2,0:00
660,2:56,3:12,"104.053006,30.698733",2,0:00
661,2:56,3:24,"104.048472,30.682733",2,0:00
662,2:57,2:24,"104.072594,30.666769",2,0:00
663,2:57,3:24,"104.052155,30.531551",1,0:00
664,2:59,,"103.996524,30.648874",2,2
